Timestamp,ResponseTime
1775161808.927,4218
1775161810.023,20216
1775161810.948,11499
1775161860.269,3639
1775161870.762,19750
1775161870.947,12081
1775161873.135,3503
1775161880.865,20110
1775161887.271,11019
1775161902.532,3641
1775161905.033,19735
1775161905.932,11426
1775161911.966,3558
1775161922.559,19680
1775161925.12,11590
1775161969.712,3686
1775161980.927,19302
1775162001.234,10622
1775162002.907,3531
1775162007.635,20310
1775162015.307,12210
1775162016.291,3413
1775162018.972,20198
1775162021.963,11449
1775162044.187,3034
1775162047.494,21153
1775162055.146,12303
1775162060.408,3974
1775162060.951,20501
1775162062.846,12561
1775162066.312,4331
1775162073.563,18967
1775162084.387,12159
1775162088.299,3473
1775162088.904,21004
1775162091.346,12090
1775162093.249,4157
1775162093.523,21403
1775162095.712,12520
1775162108.423,3556
1775162110.975,19262
1775162114.217,11168
1775162122.996,3586
1775162129.845,20683
1775162137.232,11611
1775162139.575,3982
1775162140.392,21350
1775162143.928,11661
1775162150.103,3675
1775162156.417,22878
1775162157.244,12342
1775162157.258,3653
1775162158.214,22331
1775162158.844,12654
1775162168.919,3624
1775162172.506,26138
1775162173.917,14180
1775162177.963,4293
1775162178.943,26166
1775162181.424,14296
1775162181.611,3985
1775162182.625,26766
1775162184.484,14871
1775162188.577,4697
1775162192.763,26000
1775162192.974,14069
1775162205.607,4584
1775162206.334,23764
1775162206.747,14955
1775162207.297,3982
1775162207.945,23613
1775162210.431,13854
1775162213.486,4796
1775162215.782,20927
1775162227.46,11045
1775162237.587,3075
1775162241.1,18924
1775162242.177,10953
1775162242.869,3333
1775162271.883,21344
1775162275.614,11844
1775162281.533,3711
1775162282.922,20348
1775162283.524,12003
1775162289.17,4046
1775162299.238,20603
1775162309.669,12572
1775162312.823,3817
1775162315.123,19525
1775162316.196,11205
1775162332.182,3384
1775162334.526,22287
1775162335.9,12228
1775162336.766,3671
1775162339.127,21751
1775162339.6,12921
1775162340.786,3689
1775162348.44,22928
1775162348.768,12527
1775162353.777,3818
1775162361.997,23903
1775162362.808,13886
1775162364.696,4404
1775162364.812,22806
1775162366.267,13962
1775162367.57,4309
1775162372.577,22365
1775162378.943,12026
1775162381.553,3717
1775162383.143,22090
1775162389.393,12653
1775162389.932,3966
1775162391.016,21994
1775162397.179,12519
1775162399.288,3933
1775162399.391,21558
1775162403.224,12444
1775162406.509,4104
1775162411.208,21460
1775162414.414,11151
1775162419.973,3468
1775162421.868,20576
1775162422.936,12160
1775162426.77,3975
1775162426.804,20538
1775162434.044,11212
1775162437.029,3500
1775162440.991,20971
1775162445.701,11823
1775162446.035,3638
1775162447.24,22118
1775162455.285,13179
1775162455.547,4179
1775162456.699,21935
1775162458.365,12376
1775162460.172,3519
1775162466.071,21974
1775162471.457,12566
1775162474.378,4109
1775162478.532,21566
1775162478.824,11939
1775162482.215,3786
1775162486.255,20667
1775162487.134,12344
1775162492.729,3537
1775162497.236,20031
1775162501.273,11835
1775162509.302,3322
1775162510.817,21827
1775162514.555,11352
1775162518.115,3790
1775162520.024,23595
1775162523.418,13660
1775162527.62,4519
1775162527.678,22446
1775162528.64,13303
1775162532.383,4255
1775162532.525,20793
1775162536.702,12089
1775162548.538,3151
1775162554.649,20832
1775162558.069,12240
1775162559.015,3670
1775162560.454,20847
1775162564.108,11946
1775162564.894,3987
1775162583.582,23222
1775162586.14,13424
1775162588.156,4355
1775162588.663,22975
1775162593.345,13552
1775162593.971,3787
1775162599.103,19449
1775162600.667,11965
1775162602.973,4023
1775162613.863,18764
1775162617.734,11199
1775162618.237,3755
1775162640.253,19249
1775162643.44,11240
1775162663.138,3343
1775162668.825,21229
1775162671.548,12602
1775162671.563,3325
1775162673.873,21215
1775162676.35,13304
1775162696.993,3214
1775162706.189,18984
1775162712.127,10798
1775162722.379,3392
1775162724.106,18542
1775162742.025,11186
1775162745.416,3277
1775162748.203,20688
1775162755.557,11718
1775162756.324,3593
1775162758.381,19328
1775162787.499,11524
1775162789.586,3331
1775162792.112,19083
1775162792.325,11600
1775162829.432,3244
1775162829.759,19913
1775162832.073,11045
1775162840.779,3459
1775162860.245,19781
1775162886.865,10061
1775162925.66,3018
1775164156.408,18184
1775164212.972,11816
1775164215.416,4298
1775164225.536,19100
1775164238.611,11192
1775164252.676,3742
1775164265.201,19007
1775164279.914,10708
1775164286.335,3759
1775164343.989,19467
1775164354.964,11360
1775164363.414,3665
1775164365.424,19261
1775164373.507,11606
1775164385.671,3255
1775164387.07,19793
1775164397.668,10514
1775164422.078,3352
1775164426.827,22618
1775164432.614,11406
1775164433.26,3661
1775164441.914,22506
1775164442.508,12393
1775164444.178,3900
1775164447.939,21531
1775164452.952,12667
1775164453.282,3559
1775164453.813,20142
1775164480.261,11899
1775164485.67,3943
1775164486.029,20339
1775164488.709,11279
1775164507.185,3213
1775164508.169,20237
1775164510.341,11134
1775164510.422,3362
1775164516.584,20342
1775164523.446,11747
1775164529.407,3654
1775164530.479,19114
1775164538.157,10655
1775164557.241,3533
1775164569.29,20400
1775164572.946,10945
1775164584.608,3345
1775164586.865,22566
1775164589.588,12880
1775164590.038,3999
1775164590.15,23412
1775164595.244,13325
1775164600.71,4214
1775164605.414,20752
1775164606.47,11786
1775164608.564,3969
1775164613.75,20503
1775164617.426,11619
1775164618.884,3498
1775164626.313,20761
1775164628.264,11809
1775164629.837,3786
1775164632.236,20954
1775164636.401,12292
1775164646.285,3726
1775164647.564,19315
1775164661.343,11343
1775164667.623,3225
1775164671.308,21752
1775164672.235,12205
1775164674.84,3619
1775164677.506,21889
1775164679.504,13333
1775164681.832,3869
1775164686.575,22381
1775164686.739,12313
1775164687.578,3707
1775164696.239,20122
1775164700.367,11888
1775164704.359,3561
1775164710.36,21425
1775164717.483,12608
1775164717.937,3730
1775164719.951,20864
1775164721.665,12236
1775164723.124,4236
1775164738.715,23596
1775164738.888,13580
1775164743.329,4445
1775164743.415,22835
1775164744.27,13402
1775164747.496,4938
1775164749.147,22438
1775164762.731,11363
1775164771.324,3584
1775164774.443,19392
1775164787.965,11295
1775164796.501,3486
1775164800.339,19827
1775164814.412,10972
1775164820.453,3341
1775164828.731,21387
1775164828.897,11329
1775164836.243,3630
1775164842.756,21929
1775164843.246,12961
1775164844.665,4059
1775164846.084,22154
1775164850.429,13081
1775164858.798,3970
1775164865.862,22955
1775164867.32,11744
1775164869.717,4041
1775164874.638,22796
1775164874.817,12814
1775164875.147,3481
1775164880.224,21767
1775164884.244,12051
1775164884.486,4856
1775164898.146,20095
1775164905.965,11813
1775164910.772,3695
1775164915.486,21155
1775164923.368,11339
1775164925.816,3441
1775164930.838,20085
1775164935.356,11069
1775164944.024,3424
1775164944.482,20429
1775164955.503,10740
1775164966.379,3317
1775164967.135,20112
1775164967.806,11187
1775164980.275,3233
1775164986.591,20051
1775164988.951,11077
1775164999.111,3529
1775165001.762,27584
1775165003.076,16512
1775165004.361,4116
1775165006.12,28903
1775165006.202,16364
1775165008.686,4254
1775165009.145,28614
1775165012.145,17544
1775165015.586,4896
1775165018.527,26210
1775165022.07,15009
1775165025.884,4661
1775165027.723,26459
1775165032.204,13760
1775165036.57,4139
1775165043.535,30101
1775165044.126,16611
1775165046.064,4649
1775165046.996,29079
1775165047.461,17488
1775165048.459,4428
1775165049.404,27939
1775165051.95,16919
1775165053.268,5179
1775165056.773,27358
1775165063.284,16515
1775165063.843,5054
1775165067.135,24706
1775165071.485,14207
1775165082.952,3731
1775165086.042,21397
1775165086.272,12612
1775165087.384,4329
1775165090.023,21597
1775165112.836,10970
1775165122.547,3297
1775165126.682,19566
1775165135.643,11489
1775165138.369,3833
1775165144.023,18741
1775165151.46,11056
1775165155.074,3540
1775165167.754,19883
1775165181.102,11277
1775165185.324,3598
1775165190.137,18398
1775165211.646,10857
1775165228.283,3203
1775165245.851,19137
1775165281.689,10804
