timestamp,pod,function,cpu_millicores,memory_mib
1774368024,orchestrator-9696d4c9-6fld9,orchestrator,1,80
1774368024,stage-deepspeech-7c7597dbb9-2fqmz,stage-deepspeech,1,61
1774368024,stage-ffmpeg-0-5c88f7c889-7gvg2,stage-ffmpeg-0,1,75
1774368024,stage-ffmpeg-1-6958b695f5-mjvjz,stage-ffmpeg-1,1,73
1774368024,stage-ffmpeg-2-74bc5fcb57-n9jbm,stage-ffmpeg-2,1,61
1774368024,stage-ffmpeg-3-57d65c9bdf-hhnsh,stage-ffmpeg-3,1,55
1774368024,stage-librosa-85bd4b64d5-4lt5s,stage-librosa,1,244
1774368024,stage-object-detector-5d6f68c89-h64t2,stage-object-detector,1,208
1774368030,orchestrator-9696d4c9-6fld9,orchestrator,1,80
1774368030,stage-deepspeech-7c7597dbb9-2fqmz,stage-deepspeech,1,61
1774368030,stage-ffmpeg-0-5c88f7c889-7gvg2,stage-ffmpeg-0,1,75
1774368030,stage-ffmpeg-1-6958b695f5-mjvjz,stage-ffmpeg-1,1,73
1774368030,stage-ffmpeg-2-74bc5fcb57-n9jbm,stage-ffmpeg-2,1,61
1774368030,stage-ffmpeg-3-57d65c9bdf-hhnsh,stage-ffmpeg-3,1,55
1774368030,stage-librosa-85bd4b64d5-4lt5s,stage-librosa,1,244
1774368030,stage-object-detector-5d6f68c89-h64t2,stage-object-detector,1,208
1774368036,orchestrator-9696d4c9-6fld9,orchestrator,1,80
1774368036,stage-deepspeech-7c7597dbb9-2fqmz,stage-deepspeech,1,61
1774368036,stage-ffmpeg-0-5c88f7c889-7gvg2,stage-ffmpeg-0,1,75
1774368036,stage-ffmpeg-1-6958b695f5-mjvjz,stage-ffmpeg-1,1,73
1774368036,stage-ffmpeg-2-74bc5fcb57-n9jbm,stage-ffmpeg-2,1,61
1774368036,stage-ffmpeg-3-57d65c9bdf-hhnsh,stage-ffmpeg-3,1,55
1774368036,stage-librosa-85bd4b64d5-4lt5s,stage-librosa,1,244
1774368036,stage-object-detector-5d6f68c89-h64t2,stage-object-detector,1,208
1774368043,orchestrator-9696d4c9-6fld9,orchestrator,1,80
1774368043,stage-deepspeech-7c7597dbb9-2fqmz,stage-deepspeech,1,61
1774368043,stage-ffmpeg-0-5c88f7c889-7gvg2,stage-ffmpeg-0,1,75
1774368043,stage-ffmpeg-1-6958b695f5-mjvjz,stage-ffmpeg-1,1,73
1774368043,stage-ffmpeg-2-74bc5fcb57-n9jbm,stage-ffmpeg-2,1,61
1774368043,stage-ffmpeg-3-57d65c9bdf-hhnsh,stage-ffmpeg-3,1,55
1774368043,stage-librosa-85bd4b64d5-4lt5s,stage-librosa,1,244
1774368043,stage-object-detector-5d6f68c89-h64t2,stage-object-detector,1,208
1774368049,orchestrator-9696d4c9-6fld9,orchestrator,1,80
1774368049,stage-deepspeech-7c7597dbb9-2fqmz,stage-deepspeech,1,61
1774368049,stage-ffmpeg-0-5c88f7c889-7gvg2,stage-ffmpeg-0,1,75
1774368049,stage-ffmpeg-1-6958b695f5-mjvjz,stage-ffmpeg-1,1,73
1774368049,stage-ffmpeg-2-74bc5fcb57-n9jbm,stage-ffmpeg-2,1,61
1774368049,stage-ffmpeg-3-57d65c9bdf-hhnsh,stage-ffmpeg-3,1,55
1774368049,stage-librosa-85bd4b64d5-4lt5s,stage-librosa,1,244
1774368049,stage-object-detector-5d6f68c89-h64t2,stage-object-detector,1,208
